album title,song title,song id,year
Bob Dylan at Budokan,Simple Twist Of Fate [At Budokan],4833143,1979
N/A,Simple Twist Of Fate [At Budokan],4833143,N/A
Blood on the Tracks,Simple Twist of Fate,93633,1975
"The Bootleg Series Vol. 5: Bob Dylan Live 1975, The Rolling Thunder Revue",Simple Twist of Fate,93633,2002
N/A,Simple Twist of Fate,93633,N/A
"The Bootleg Series Vol. 14: More Blood, More Tracks",Simple Twist of Fate (9/16/74 Take 1A),4124375,2018
"The Bootleg Series Vol. 14: More Blood, More Tracks",Simple Twist of Fate (9/16/74 Take 2),4124370,2018
"The Bootleg Series Vol. 14: More Blood, More Tracks",Simple Twist of Fate (9/16/74 Take 2a),4124376,2018
N/A,"Simple Twist of Fate (9/16/74, Take 3A)",3991894,N/A
"The Bootleg Series Vol. 14: More Blood, More Tracks","Simple Twist of Fate (9/16/74, Take 3A)",3991894,2018
Good as I Been to You,Sittin' on Top of the World,200846,1992
N/A,Sittin' on Top of the World,200846,N/A
The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991,Sitting on a Barbed Wire Fence,200904,1991
N/A,Sitting on a Barbed Wire Fence,200904,N/A
The Bootleg Series Vol. 12: The Cutting Edge 1965-1966,Sitting on a Barbed Wire Fence,200904,2015
The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition),Sitting on a Barbed-Wire Fence (Take 2),6223025,2016
N/A,Skylark,2475864,N/A
Fallen Angels,Skylark,2475864,2016
Slow Train Coming,Slow Train,105221,1979
The Bootleg Series Vol. 13: Trouble No More 1979-1981,Slow Train,105221,2017
N/A,Slow Train,105221,N/A
The Bootleg Series Vol. 13: Trouble No More 1979-1981,Solid Rock,199917,2017
Saved,Solid Rock,199917,1980
N/A,Solid Rock,199917,N/A
Biograph,Solid Rock,199917,1985
N/A,Some Enchanted Evening,691980,N/A
Shadows in the Night,Some Enchanted Evening,691980,2015
N/A,Somebody Touched Me,1463427,N/A
The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006,Someday Baby,201549,2008
Modern Times,Someday Baby,201549,2006
N/A,Someday Baby,201549,N/A
N/A,"Someday Baby - Alternate Version, Modern Times",6263896,N/A
N/A,Someone's Got a Hold of My Heart,201061,N/A
