album title,song title,song id,year
Another Side of Bob Dylan,Untitled 4 (Jack O'Diamonds Is a Hard Card t Play),2393360,1964
Another Side of Bob Dylan,Untitled 5 (The Jumping),2393362,1964
N/A,Untitled 5 (The Jumping),2393362,N/A
N/A,Untitled 6 (I Used t' Hate Enzo),2393363,N/A
Another Side of Bob Dylan,Untitled 6 (I Used t' Hate Enzo),2393363,1964
Another Side of Bob Dylan,Untitled 7 (Charlie),2393365,1964
N/A,Untitled 7 (Charlie),2393365,N/A
Another Side of Bob Dylan,Untitled 8 (An Amazon Chick),2393367,1964
N/A,Untitled 8 (An Amazon Chick),2393367,N/A
N/A,Untitled 9 (Johnny),2393368,N/A
